entryTime,exitTime,entry,exit,size,pnl,win,reason,holdBars,capAfter,rsiAtEntry
2026-02-06T17:00,2026-02-06T20:00,86.58,87.4458,47.64,-2.5487,false,止损,3,156.26,61.21139699803641
2026-02-06T20:00,2026-02-06T21:00,86.84,87.7084,46.88,-2.5081,false,止损,1,153.75,60.97338365168947
2026-02-06T23:00,2026-02-07T03:00,87.43,88.3043,46.13,-2.468,false,止损,4,151.28,59.43878659919364
2026-02-07T04:00,2026-02-07T05:00,87.64,88.5164,45.38,-2.4278,false,止损,1,148.86,58.70543491657898
2026-02-07T18:00,2026-02-08T16:00,88.66,86.0002,44.66,6.5427,true,止盈,22,155.4,64.02149913419314
2026-02-08T20:00,2026-02-08T23:00,86.85,87.7185,46.62,-2.4942,false,止损,3,152.9,47.26501848756908
2026-02-09T04:00,2026-02-09T08:00,87.07,84.4579,45.87,6.72,true,止盈,4,159.62,49.22139138440781
2026-02-09T18:00,2026-02-10T06:00,87.45,84.8265,47.89,7.0159,true,止盈,12,166.64,58.05490820860946
2026-02-12T11:00,2026-02-12T16:00,81.83,79.3751,49.99,7.3235,true,止盈,5,173.96,58.61512011168468
2026-02-13T11:00,2026-02-13T14:00,80.27,81.0727,52.19,-2.7922,false,止损,3,171.17,58.2041250089051
2026-02-13T15:00,2026-02-13T16:00,83.16,83.9916,51.35,-2.7472,false,止损,1,168.42,72.80510244123819
2026-02-14T10:00,2026-02-14T11:00,85.76,86.6176,50.53,-2.7034,false,止损,1,165.72,68.95434374747042
2026-02-14T12:00,2026-02-14T14:00,86.35,87.2135,49.72,-2.66,false,止损,2,163.06,66.40466053518313
2026-02-14T14:00,2026-02-14T16:00,87.19,88.0619,48.92,-2.6172,false,止损,2,160.44,70.4859787134089
2026-02-14T16:00,2026-02-15T04:00,88.06,88.9406,48.13,-2.575,false,止损,12,157.87,74.20417101257222
2026-02-15T06:00,2026-02-15T07:00,89.55,90.4455,47.36,-2.5338,false,止损,1,155.33,74.79590908794627
2026-02-15T12:00,2026-02-15T13:00,87.28,88.1528,46.6,-2.4931,false,止损,1,152.84,45.05683133451614
2026-02-15T13:00,2026-02-15T17:00,86.92,87.7892,45.85,-2.453,false,止损,4,150.39,42.86951338955378
2026-02-16T22:00,2026-02-16T23:00,85.67,86.5267,45.12,-2.4139,false,止损,1,147.97,52.22403756012121
2026-02-17T01:00,2026-02-17T02:00,86.14,87.0014,44.39,-2.3749,false,止损,1,145.6,54.442216902587546
2026-02-17T03:00,2026-02-17T14:00,86.33,83.7401,43.68,6.3991,true,止盈,11,152,54.028686439175566
2026-02-18T04:00,2026-02-18T08:00,85.1,85.951,45.6,-2.4396,false,止损,4,149.56,50.78877137942123
2026-02-18T09:00,2026-02-18T12:00,85.28,82.7216,44.87,6.5735,true,止盈,3,156.13,52.44075296057649
2026-02-20T02:00,2026-02-20T05:00,82.86,83.6886,46.84,-2.5059,false,止损,3,153.63,60.05987476570183
2026-02-20T07:00,2026-02-20T09:00,83.4,84.234,46.09,-2.4658,false,止损,2,151.16,61.80583147778958
2026-02-20T11:00,2026-02-20T15:00,83.53,84.3653,45.35,-2.4262,false,止损,4,148.73,58.92663646200891
2026-02-20T18:00,2026-02-21T14:00,85.2,86.052,44.62,-2.3872,false,止损,20,146.35,66.15968111244982
2026-02-21T14:00,2026-02-22T13:00,86.27,83.6819,43.9,6.4313,true,止盈,23,152.78,71.50958825343099
2026-02-26T20:00,2026-02-27T03:00,85.99,86.8499,45.83,-2.4519,false,止损,7,150.33,48.00460518158851
2026-02-27T09:00,2026-02-27T11:00,86.28,83.6916,45.1,6.6072,true,止盈,2,156.93,47.069261164918615
2026-02-28T19:00,2026-02-28T20:00,82.15,82.9715,47.08,-2.5188,false,止损,1,154.42,55.801980948141285
2026-03-01T09:00,2026-03-01T13:00,84.94,85.7894,46.32,-2.4781,false,止损,4,151.94,53.49827690385606
2026-03-01T16:00,2026-03-01T18:00,83.97,84.8097,45.58,-2.4385,false,止损,2,149.5,45.55133119780519
2026-03-02T01:00,2026-03-02T14:00,84.57,85.4157,44.85,-2.3995,false,止损,13,147.1,52.45411548306676
2026-03-03T01:00,2026-03-03T13:00,86.11,83.5267,44.13,6.465,true,止盈,12,153.56,51.445934617954734
2026-03-03T17:00,2026-03-03T22:00,85.14,85.9914,46.07,-2.4647,false,止损,5,151.1,50.40696899921675
2026-03-04T03:00,2026-03-04T07:00,85.71,86.5671,45.33,-2.4252,false,止损,4,148.67,50.57826760661533
2026-03-09T05:00,2026-03-09T13:00,84.22,85.0622,44.6,-2.3861,false,止损,8,146.29,65.00294751428962
2026-03-09T23:00,2026-03-10T00:00,84.91,85.7591,43.89,-2.3481,false,止损,1,143.94,55.581645638583645
2026-03-10T03:00,2026-03-10T04:00,85.51,86.3651,43.18,-2.3101,false,止损,1,141.63,56.42231770669318
2026-03-10T09:00,2026-03-10T14:00,87.17,88.0417,42.49,-2.2732,false,止损,5,139.36,66.28520306706764
2026-03-10T18:00,2026-03-11T13:00,86.19,87.0519,41.81,-2.2368,false,止损,19,137.12,49.00437250668528
2026-03-11T15:00,2026-03-11T16:00,85.35,86.2035,41.14,-2.201,false,止损,1,134.92,47.1998347656241
