entryTime,exitTime,dir,entry,exit,size,pnl,win,reason
2026-02-06T02:00,2026-02-06T03:45,LONG,64825.8,64177.54,127.26,-13.6169,false,止损
2026-02-06T08:30,2026-02-06T09:15,SHORT,64728.4,65375.68,123.86,-13.2529,false,止损
2026-02-06T09:15,2026-02-06T13:00,LONG,65586.7,66898.43,120.54,23.2641,true,止盈
2026-02-07T00:45,2026-02-07T01:45,SHORT,69925,70624.25,126.36,-13.5205,false,止损
2026-02-07T02:00,2026-02-07T06:45,LONG,70379.6,69675.8,122.98,-13.1589,false,止损
2026-02-07T12:45,2026-02-08T08:15,LONG,68991.9,70371.74,119.69,23.1002,true,止盈
2026-02-08T17:00,2026-02-08T18:30,SHORT,70549.8,71255.3,125.47,-13.4253,false,止损
2026-02-08T18:30,2026-02-08T21:45,LONG,71277.9,70565.12,122.11,-13.0658,false,止损
2026-02-08T23:00,2026-02-08T23:15,LONG,71322.9,70609.67,118.84,-12.7159,false,止损
2026-02-08T23:15,2026-02-09T03:30,SHORT,70465,71169.65,115.66,-12.3756,false,止损
2026-02-09T03:30,2026-02-09T06:15,LONG,71093.7,70382.76,112.57,-12.045,false,止损
2026-02-09T06:30,2026-02-09T10:15,SHORT,70517,69106.66,109.56,21.1451,true,止盈
2026-02-09T16:15,2026-02-09T17:30,LONG,69562.4,70953.65,114.84,22.1642,true,止盈
2026-02-09T23:45,2026-02-10T06:45,SHORT,70111.1,68708.88,120.39,23.2352,true,止盈
2026-02-10T15:30,2026-02-10T21:30,LONG,69238.3,68545.92,126.19,-13.5023,false,止损
2026-02-11T00:30,2026-02-11T03:15,LONG,69023.7,68333.46,122.82,-13.1418,false,止损
2026-02-11T13:30,2026-02-11T14:00,LONG,67190.8,68534.62,119.53,23.0694,true,止盈
2026-02-11T15:00,2026-02-11T15:30,SHORT,66084,66744.84,125.3,-13.4071,false,止损
2026-02-11T18:45,2026-02-12T16:00,LONG,67235.7,66563.34,121.95,-13.0487,false,止损
2026-02-12T23:00,2026-02-13T13:30,LONG,66282.5,67608.15,118.69,22.9072,true,止盈
2026-02-14T04:30,2026-02-14T08:00,SHORT,68826.8,69515.07,124.41,-13.3119,false,止损
2026-02-14T13:45,2026-02-14T21:00,SHORT,69437.9,70132.28,121.09,-12.9566,false,止损
2026-02-15T00:00,2026-02-15T04:00,SHORT,69651.7,70348.22,117.85,-12.61,false,止损
2026-02-15T12:00,2026-02-15T13:45,SHORT,70198.6,68794.63,114.69,22.1351,true,止盈
2026-02-15T22:15,2026-02-16T02:45,LONG,68980.2,68290.4,120.23,-12.8646,false,止损
2026-02-16T04:45,2026-02-16T15:30,LONG,68839.1,68150.71,117.01,-12.5201,false,止损
2026-02-16T20:45,2026-02-17T10:15,LONG,68505.7,67820.64,113.88,-12.1852,false,止损
2026-02-17T18:45,2026-02-17T23:00,LONG,68059.9,67379.3,110.84,-11.8599,false,止损
2026-02-18T03:45,2026-02-18T14:45,LONG,67588.6,66912.71,107.87,-11.5422,false,止损
2026-02-19T01:15,2026-02-19T13:30,LONG,66669.9,66003.2,104.99,-11.2339,false,止损
2026-02-19T17:15,2026-02-20T05:45,LONG,66589.7,67921.49,102.18,19.7207,true,止盈
2026-02-20T16:45,2026-02-20T17:00,LONG,67764,67086.36,107.11,-11.4608,false,止损
2026-02-20T17:15,2026-02-20T18:00,SHORT,67005.2,67675.25,104.24,-11.1536,false,止损
2026-02-20T18:00,2026-02-23T00:45,LONG,67548.2,66872.72,101.45,-10.8551,false,止损
2026-02-23T07:15,2026-02-23T17:15,LONG,65657.9,65001.32,98.74,-10.5652,false,止损
2026-02-24T00:15,2026-02-24T01:15,LONG,64830.9,64182.59,96.1,-10.2827,false,止损
2026-02-24T15:00,2026-02-25T01:00,LONG,63543.8,64814.68,93.53,18.0513,true,止盈
2026-02-25T05:45,2026-02-25T08:45,SHORT,64854.8,65503.35,98.04,-10.4903,false,止损
2026-02-25T08:45,2026-02-25T14:45,LONG,65493.5,66803.37,95.42,18.4161,true,止盈
2026-02-25T23:30,2026-02-26T00:15,SHORT,67665.5,68342.15,100.02,-10.7021,false,止损
2026-02-26T04:15,2026-02-26T07:45,LONG,68521.8,67836.58,97.35,-10.4165,false,止损
2026-02-26T09:45,2026-02-26T13:45,LONG,68549.9,67864.4,94.74,-10.1372,false,止损
2026-02-26T20:00,2026-02-27T00:45,LONG,67653.9,66977.36,92.21,-9.8665,false,止损
2026-02-27T03:45,2026-02-27T10:00,LONG,67565,66889.35,89.74,-9.6022,false,止损
2026-02-27T23:15,2026-02-28T06:15,LONG,65844.9,65186.45,87.34,-9.3454,false,止损
2026-03-01T06:30,2026-03-01T20:00,SHORT,66900.1,65562.1,85,16.405,true,止盈
2026-03-02T00:30,2026-03-02T02:00,LONG,66600,65934,89.11,-9.5348,false,止损
2026-03-02T06:45,2026-03-02T14:45,SHORT,66175.7,66837.46,86.72,-9.2791,false,止损
2026-03-03T00:15,2026-03-03T08:30,SHORT,68770.7,67395.29,84.4,16.2892,true,止盈
2026-03-03T15:45,2026-03-04T07:45,LONG,67692.6,69046.45,88.47,17.0747,true,止盈
2026-03-04T22:45,2026-03-05T10:15,SHORT,72670,73396.7,92.74,-9.9232,false,止损
2026-03-05T13:30,2026-03-05T16:00,SHORT,72481.6,71031.97,90.26,17.4202,true,止盈
2026-03-06T02:15,2026-03-06T04:30,LONG,71295.5,70582.54,94.62,-10.1244,false,止损
2026-03-06T07:45,2026-03-06T09:30,LONG,71029.5,70319.21,92.09,-9.8536,false,止损
2026-03-07T03:00,2026-03-07T04:00,LONG,68472.8,67788.07,89.62,-9.5894,false,止损
2026-03-07T10:00,2026-03-07T19:15,LONG,68051.2,67370.69,87.23,-9.3336,false,止损
2026-03-08T07:00,2026-03-08T21:00,LONG,67352.7,66679.17,84.89,-9.0833,false,止损
2026-03-08T21:00,2026-03-09T03:00,SHORT,66741.8,67409.22,82.62,-8.8404,false,止损
2026-03-09T03:00,2026-03-09T13:30,LONG,67416.3,68764.63,80.41,15.5192,true,止盈
2026-03-09T18:30,2026-03-09T19:15,SHORT,68455.6,69140.16,84.29,-9.0191,false,止损
2026-03-09T19:15,2026-03-09T21:30,LONG,69323.4,68630.17,82.04,-8.7782,false,止损
2026-03-09T22:45,2026-03-10T01:45,SHORT,68596.4,69282.36,79.84,-8.5428,false,止损
2026-03-10T13:30,2026-03-10T14:45,SHORT,69885,70583.85,77.71,-8.315,false,止损
2026-03-10T15:00,2026-03-10T18:00,LONG,71160,70448.4,75.63,-8.0924,false,止损
2026-03-10T18:15,2026-03-11T13:30,SHORT,70288.9,70991.79,73.6,-7.8752,false,止损
